Apples,Bananas,Mushrooms,Tomatoes,Avocado,Cooking Oil,Fish,Milk,Eggs,Vegetables,Chips,Diapers,Shampoo,Cooking Oil ,Chips
Bananas,Potatoes,Corn,BBQ Sauce,Pizza,Ice Cream,Water,Milk,Eggs,Hot-Dog Buns,Lasagna,Chips,Popcorn,Vegetables,Batteries
Grapes,Chili pepper,Lentils,Vinegar,Fish,Ice Cream,Coffee,Eggs,Sliced Bread,Rice,Oatmeal,Chips,Bleach,Soap,Pet Food
Bacon,Cheese,Pizza,Ice Cream,Water,Coffee,Salt,Mayonaise,Milk,Eggs,Lasagna,Popcorn,Soap,Toothpaste,Toothpaste
Apples,Carrots,Poultry,Vegetables,Ice Cream,Coffee,Mustard,Oatmeal,Aluminum Foil,Hair Gel,Fish,Eggs,Salad,Sardines,Coffee
Chili Powder,Bleach,Aluminum Foil,Toilet Paper,Tick Repellent,Lasagna,Floss,Tuna,Sardines,Salt,Hot Sauce,Rash Cream,Mustard,Mustard,Coffee
Oranges,Mushrooms,Beans,Cooking Oil ,Fish,Ice Cream,Water,Salt,Milk,Tortillas,Oatmeal,Rice,Popcorn,Toothpaste,Napkins
Fish,Coffee,BBQ Sauce,Floss,Salt,Eggs,Ice Cream,Lentils,Cooking Oil,Sardines,Toilet Paper,Beans,Grapes,Carrots,Milk
Apples,Onions,Peppers,Olive Oil,Flour,Ground Beef,Fish,Coffee,Hot Sauce,"Milk
",Macaroni,Chips,Batteries,Peanut Butter,Napkins
Chickpeas,Cooking oil,Beef cuts,Salad,Vegetables,Bagels,Lasagna,Dips,Hot Sauce,Shampoo,Soup,Lotion,Tartar Sauce,Peanut Butter,Vanilla
Apples,Beef cuts,Beer,Eggs,BBQ Sauce,Coffee,Oatmeal,Chips,Dips,Water,Shampoo,Detergent,Ham,Shampoo,Bananas
Water,Bacon,Cheese,Salt,Eggs,Bananas,Hot Sauce,Chips,Milk,Ice Cream,Batteries,Toothpaste,Fish,Bananas,Shampoo
Corn,Bacon,Salt,Cheese,Coffee,Olive Oil,Milk,Hot Sauce,Lotion,Water,Shampoo,Toothpaste,Bleach,Coffee,Apples
Mushrooms,Lentils,BBQ Sauce,Sausage,Pizza,Coffee,Tortillas,Rice,Aftershave,Salt,Coffee,Hamburger Patties,Bananas,Apples,Hamburger Patties
Bananas,Potatoes,Avocado,Lentils,Poultry,Fish,Water,Juice,Coffee,Eggs,Rice,Honey,Oatmeal,Bananas,Aftershave
Poultry,Apples,Maple Syrup,Pancake Mix,Peanut Butter,Jelly,Tea,Milk,Bagels,Toothpaste,Ice Cream,Coffee,Apples,Napkins,Shampoo
Avocado,Fish,Bananas,Coffee,Potatoes,Peppers,Onions,Water,Bleach,Chocolates,Celery,Carrots,Spinach,Yogurt,Aftershave
Apples,Grapes,Lettuce,Spinach,Peppers,Corn,Chickpeas,Olive Oil,Soy Sauce,BBQ Sauce,Vanilla,Beef Cuts,Cheese,Pizza,Water
Apples,Bananas,Potatoes,Poultry,Waffles,Pizza,Water,Milk,Yogurt,Cold Cereal,Cookies,Chips,Crackers,Apples,Bananas
Bananas,Corn,Avocado,Tomatoes,Chickpeas,Beans,Poultry,Cheese,Sliced Bread,Coffee,Granola,Bagels,English Muffins,Apples,Shampoo
Bananas,Potatoes,Corn,Beef Cuts,Poultry,Pizza,Beer,Cookies,Air Freshener,Pet Food,English Muffins,Peppers,Peppers,Shampoo,Apples
Onions,Peppers,Potatoes,Cooking Oil ,Poultry,Hamburger Patties,Yogurt,Eggs,Hamburger Buns,Pita Bread,Rice,Chocolates,Bananas,Apples,Shampoo
Bananas,Mushrooms,Lentils,Olive Oil,Water,Eggs,Spaghetti,Chips,Chocolates,Shaving Cream,Pet Food,Pet litter,Apples,Shampoo,Coffee
Waffles,Ground Beef,Oranges,Water,Wine,Eggs,Beans,Napkins,Toilet Paper,Hot Sauce,Olive Oil,Pancake Mix,Peppers,Aftershave,Hamburger Patties
Oranges,Grapes,Pizza,Tea,Cheese,Pickles,Crackers,Rice,Ketchup,Potatoes,Hamburger Patties,Coffee,Shampoo,Apples,Bananas
Apples,Potatoes,Lettuce,Pizza,Wine,Eggs,Beans,Milk,Chocolates,Pet Food,Rice,Chips,Aftershave,Peppers,Apples
Corn,Bacon,Salt,Cheese,Coffee,Olive Oil,Milk,Hot Sauce,Lotion,Water,Shampoo,Toothpaste,Bleach,Aftershave,Peppers